fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
8146,31,124.5,0.5,0.5,142.9,0,0,0,0,0,0,3
13020,51,158.7,0.6,0.6,141.5,0,0,0,0,0,0,3
10681,42,135.2,0.5,0.5,138.7,0,0,0,0,0,0,3
9726,37,158.0,0.6,0.6,145.2,0,0,0,0,0,0,3
14874,57,185.4,0.6,0.6,145.8,0,0,0,0,0,0,3
12298,48,161.7,0.6,0.6,141.4,0,0,0,0,0,0,3
11263,43,153.7,0.6,0.6,146.3,0,0,0,0,0,0,3
66,1,-20.6,-0.3,0.5,33.0,67,1,-29.1,-0.4,0.5,33.5,3
16454,62,158.0,0.5,0.6,146.9,0,0,0,0,0,0,3
13878,54,158.0,0.6,0.6,143.1,0,0,0,0,0,0,3
12365,48,110.2,0.5,0.6,142.1,0,0,0,0,0,0,3
17821,68,136.7,0.6,0.6,146.1,0,0,0,0,0,0,3
15186,59,130.8,0.5,0.6,141.9,0,0,0,0,0,0,3
